goal,arrays_score,strings_score,graphs_score,dp_score,trees_score,backtracking_score,contest_rating,acceptance_rate,problems_solved
Amazon SDE,54,97,58,27,59,67,1380,46.29100740272538,1045
Zoho,33,12,32,32,63,7,1378,70.47657381396297,666
Campus Placement,20,28,74,5,35,79,1383,61.706816219371696,1433
Interview Preparation,25,93,11,11,38,8,1718,77.3648558222051,989
Google SDE,13,93,0,96,0,87,1307,56.290303353560304,524
Infosys,17,8,67,49,47,38,1253,39.90810204535597,246
Google SDE,87,69,68,97,71,0,1404,64.90590581687955,1312
Zoho,34,46,98,60,65,2,1595,38.29313261447316,357
Campus Placement,64,3,58,49,22,8,2259,82.97296645345206,636
Google SDE,15,78,74,75,60,47,1923,68.68068543720501,1137
Interview Preparation,60,74,29,36,52,52,1474,71.59770380823461,639
Infosys,20,30,32,99,84,46,1246,67.35976433570744,1281
Competitive Programming,87,61,39,66,34,99,1374,35.3657763457962,373
Interview Preparation,25,27,84,99,64,46,1198,55.591490070029124,330
Interview Preparation,46,37,21,60,19,62,1465,65.8278383601812,295
Microsoft,45,47,24,91,58,10,1496,42.61457301967277,158
Interview Preparation,17,35,97,10,51,48,1583,67.37261588002013,1117
Zoho,40,51,3,79,46,40,809,75.0937011381273,415
Competitive Programming,87,73,11,53,48,54,1137,45.12114886800623,987
Infosys,91,93,3,66,1,2,1835,40.97818151461668,465
Amazon SDE,19,14,22,85,15,97,1069,78.5737987864189,809
Competitive Programming,80,0,69,57,23,98,1169,30.285697102051195,1194
Zoho,84,75,57,48,95,79,1302,44.06608766254608,1022
Amazon SDE,17,52,96,78,92,13,1826,52.37017189802539,793
Zoho,65,93,34,98,4,99,1598,66.97428453327939,469
Microsoft,35,68,57,83,11,66,1316,84.83849219528196,747
Google SDE,16,88,96,42,66,5,1261,50.395011719647165,518
Competitive Programming,42,59,5,67,65,15,1195,82.18447993217356,490
Infosys,69,23,6,92,37,51,1023,50.17258551870242,123
Competitive Programming,34,86,20,83,59,31,1156,68.25410911762116,758
Competitive Programming,97,30,14,28,94,33,1928,39.09518595284534,370
TCS,55,44,65,13,69,95,1846,55.32243222216152,350
Google SDE,85,26,86,0,92,96,1297,77.92004352515931,779
TCS,95,18,66,17,83,76,1251,47.59969090405951,770
Infosys,9,11,11,80,67,91,1742,35.78614292744031,978
Competitive Programming,69,86,48,14,92,17,1218,58.749233472439144,458
Google SDE,76,49,78,88,73,52,1600,54.174407745620584,844
Campus Placement,69,81,61,12,51,36,1067,42.624679656573406,1213
Interview Preparation,99,11,32,96,61,87,1450,79.80883743809409,1440
Interview Preparation,32,20,60,23,34,0,1258,63.09277059991392,1229
Zoho,1,56,12,33,26,28,1537,49.09454920083,1499
Infosys,79,18,12,10,0,90,1787,84.78721814796673,320
Infosys,39,16,58,61,40,13,1218,37.56614118016314,271
Campus Placement,24,58,27,46,24,23,1080,76.6373331921032,1452
Campus Placement,83,38,76,24,22,78,1310,42.68437146811038,415
Google SDE,90,72,23,31,49,73,1801,43.172877184662894,152
TCS,45,53,29,64,19,23,1439,57.39892090323009,351
Amazon SDE,14,61,99,28,10,15,1377,66.40680833996353,1349
Google SDE,73,5,3,40,88,94,1746,67.97547036315942,1134
Infosys,90,19,12,74,70,28,1555,31.21701998564845,253
TCS,16,7,75,21,3,8,2096,45.77718742586289,499
Competitive Programming,85,17,0,75,56,35,1072,66.33322414004621,21
Amazon SDE,13,85,43,0,5,74,1397,78.93541365282857,1272
Interview Preparation,27,57,48,15,12,18,985,66.84399886234664,570
Zoho,71,54,80,15,97,15,1072,44.62347231144631,51
Amazon SDE,7,81,23,2,19,8,1794,57.92750119432447,687
TCS,28,20,33,99,61,43,1129,65.61670303099717,603
Interview Preparation,40,19,38,93,33,52,1869,37.443664299336355,1462
Campus Placement,64,64,41,2,76,90,1067,59.96987967970202,1191
Microsoft,53,29,6,98,5,97,1372,55.941642542896375,1249
Competitive Programming,72,21,22,51,72,74,1041,48.51564191077409,1495
Google SDE,7,8,20,30,93,82,1596,64.29457175423322,143
Zoho,3,52,42,34,61,71,1461,64.99189611667543,1100
Campus Placement,84,92,59,49,26,42,1777,83.43084483221713,1040
Zoho,68,81,23,75,8,83,1653,53.55678585770928,957
Interview Preparation,63,91,99,93,73,40,1436,59.2196935516032,82
Microsoft,57,72,66,88,37,10,1434,38.66264195338624,408
Amazon SDE,40,5,92,22,0,12,1020,60.15992863816852,1438
Google SDE,40,85,27,80,2,80,1514,31.98472720461812,587
Interview Preparation,86,37,65,64,33,42,1371,38.243266595127636,868
TCS,86,65,3,80,54,42,0,39.41857419222943,139
TCS,58,6,80,58,35,86,1624,64.79515146274214,940
TCS,1,95,83,34,32,53,0,61.20120524037239,1499
Amazon SDE,66,31,35,62,43,49,1182,73.89203263194429,1239
Microsoft,10,87,56,17,47,11,1423,55.54196875294882,275
Microsoft,27,46,89,9,44,72,1321,56.11709302766362,802
Google SDE,2,71,56,46,66,90,961,38.88558176685032,262
Campus Placement,72,30,85,32,51,88,1098,70.84857863514009,831
TCS,95,36,18,5,30,86,1722,30.200910910856447,1322
Amazon SDE,51,53,30,20,5,54,1534,53.36899802304923,173
Amazon SDE,73,19,41,46,15,38,1391,40.357880012498484,104
Zoho,11,71,59,29,42,8,1775,72.4055458498091,842
Competitive Programming,43,70,88,89,76,88,1381,67.03652483779187,1143
Interview Preparation,55,28,29,70,96,88,1611,68.8722790410397,345
Microsoft,19,33,47,20,64,9,1388,38.17178371330587,831
Competitive Programming,60,21,72,44,45,14,1418,66.7847740513171,247
Competitive Programming,40,69,29,96,59,36,2342,67.99915404012165,390
Campus Placement,11,75,40,49,53,50,1191,30.14503965868623,1469
Amazon SDE,8,53,31,2,8,2,1565,47.468047251132134,908
Campus Placement,24,41,58,75,85,23,1558,34.80084996833375,492
Zoho,74,45,47,32,49,87,1744,67.47668278263197,911
Amazon SDE,8,27,78,87,97,8,1378,41.66597683940892,1058
Competitive Programming,12,89,99,70,33,32,2000,44.556262337612694,1150
Microsoft,12,72,98,57,52,13,1291,34.30809915085828,491
Zoho,6,48,64,71,64,2,1265,56.609366589959905,1425
Amazon SDE,11,26,20,46,36,55,1653,31.816804522080997,926
Competitive Programming,40,38,35,36,22,69,1769,76.50757170812558,1003
Competitive Programming,86,91,66,53,17,79,0,31.450132200895396,973
Campus Placement,26,95,78,34,11,34,1168,33.39018317999813,546
Microsoft,91,97,87,62,4,16,1451,65.2223648269618,1112
Google SDE,30,55,15,6,19,68,1578,80.43134376639904,1206
Zoho,63,95,57,3,82,61,1804,79.06666240543082,1045
Google SDE,55,73,6,33,54,85,1434,34.59967810576243,137
Amazon SDE,33,34,79,38,65,15,1746,45.864569690148095,101
Interview Preparation,11,17,27,85,3,12,858,58.65702712742532,552
TCS,67,36,49,32,26,11,1039,31.46430562830566,855
Microsoft,19,23,11,74,71,73,1397,59.07534385516654,998
Microsoft,35,23,24,8,33,9,1713,54.62711024641763,456
Interview Preparation,66,29,29,14,70,51,1303,62.36260475577365,399
Amazon SDE,92,26,71,91,28,77,1312,80.61731859489817,681
Amazon SDE,69,29,10,29,39,96,1514,45.10406181413047,52
Microsoft,68,3,59,43,81,38,1331,65.15030989352238,263
TCS,62,26,41,22,54,40,1821,53.64077847852023,1163
Amazon SDE,42,66,99,67,57,27,1429,53.932079837686736,1093
TCS,98,5,99,77,40,85,2137,65.59992712426413,672
TCS,11,6,54,82,10,81,1445,82.32350173491292,476
Infosys,54,84,35,87,71,78,1286,77.46673281162109,296
Competitive Programming,46,70,48,56,65,16,1426,65.17373450135426,1020
Amazon SDE,83,1,45,44,72,1,1728,55.384594892024666,787
Interview Preparation,88,72,93,99,40,72,1350,53.31956555015049,354
Interview Preparation,95,66,69,70,5,76,556,73.2923101028297,651
Amazon SDE,66,14,34,17,63,84,1257,42.00213760588763,391
Infosys,61,48,93,44,28,77,704,62.321659928935254,699
Infosys,62,34,13,48,13,14,1554,57.77245725300591,1286
Competitive Programming,0,84,36,14,78,65,1063,65.7144458385279,1089
Competitive Programming,0,16,91,46,50,90,1414,40.30815653173909,1496
Google SDE,65,69,39,4,46,33,958,68.26664730924915,466
Interview Preparation,12,14,51,99,47,84,1374,64.48498868121365,992
Amazon SDE,81,11,40,61,46,36,1450,39.90803668082946,92
TCS,84,32,4,83,4,47,1251,54.72919291100659,1132
Google SDE,65,9,20,6,74,12,1386,67.32406451638383,158
Amazon SDE,87,69,54,73,86,41,894,79.5882348193318,1362
Campus Placement,69,41,48,64,17,6,1413,36.71547955162097,1189
Interview Preparation,63,32,60,97,73,34,1208,30.48066800367333,199
Google SDE,66,12,5,86,46,87,1426,39.08347869413423,892
Competitive Programming,49,65,50,93,84,60,0,84.41005539853492,272
TCS,77,17,60,39,69,54,1328,72.2603641686498,1113
Infosys,30,80,61,82,75,64,1265,63.7902960364394,409
Campus Placement,93,97,23,56,5,84,1482,37.31571869321567,773
Zoho,8,7,51,32,11,83,1900,52.88252170938118,618
Microsoft,64,55,15,97,1,18,1359,69.33813774806953,1293
Google SDE,54,92,6,79,90,20,1562,79.2736289230008,794
Amazon SDE,28,5,41,33,76,60,1869,51.00027901175829,110
Zoho,88,78,89,29,75,17,1520,84.98294325623218,1392
Infosys,38,94,20,23,2,88,1626,37.68550267808897,1413
Microsoft,83,44,47,95,24,19,1142,51.28147565598422,829
Microsoft,11,29,59,35,23,61,1508,78.1468602376467,1254
Competitive Programming,33,83,81,15,62,30,1505,65.74535851965803,829
TCS,21,25,16,82,45,20,1932,74.60057211540496,429
Google SDE,59,19,20,57,32,47,1025,79.92895263250861,133
Interview Preparation,77,55,51,2,70,79,2052,57.9024017528679,431
Amazon SDE,57,23,5,80,10,6,1744,42.91109329878738,1264
Infosys,91,59,18,30,5,40,1689,68.1538797784344,1096
TCS,62,39,65,2,95,31,1055,60.99138265901465,777
Microsoft,58,47,18,11,88,6,1128,72.4957062616192,492
Amazon SDE,70,15,21,37,49,39,1587,58.14425650095214,528
Amazon SDE,5,57,79,45,68,75,775,74.61112525161903,164
TCS,35,67,24,93,75,51,948,79.61096117794287,101
Campus Placement,31,97,43,61,84,97,1638,71.22706646588185,991
Competitive Programming,58,66,10,69,63,57,1757,70.90103346409323,464
Microsoft,89,66,75,76,97,81,2042,62.29541376825432,607
Campus Placement,53,62,27,52,71,76,1299,55.94031066638207,519
Competitive Programming,69,37,65,33,61,0,1139,83.49232112454388,1216
Microsoft,33,64,37,4,78,55,1169,65.48118926645091,395
Competitive Programming,42,11,75,85,56,33,1535,76.2196076223949,414
TCS,47,82,24,72,16,64,1339,57.79749656989671,255
TCS,49,98,1,32,69,88,993,60.517182186932146,751
Competitive Programming,28,68,32,26,21,53,1557,66.45889629866873,670
Infosys,5,42,12,11,22,8,1092,70.07038027576863,659
Infosys,64,50,55,17,45,59,1623,54.6595657845147,1456
Infosys,7,38,51,46,48,20,1611,49.59732105833511,910
Amazon SDE,71,73,44,41,69,70,1310,43.16809573548416,74
Amazon SDE,25,9,49,72,19,82,1485,53.30049825703709,1046
Microsoft,21,35,58,88,96,94,1312,41.618085080650204,222
Google SDE,15,98,63,29,25,32,1378,52.92189051781848,251
Interview Preparation,73,88,87,36,62,27,1015,78.10627100540316,502
Google SDE,16,48,83,41,18,49,381,83.73885998738476,1246
Zoho,71,50,83,15,3,20,1362,61.740608385285036,347
Campus Placement,83,57,46,26,71,54,1101,38.03029591533429,182
Campus Placement,64,94,11,22,55,37,1143,53.51555695852858,681
Infosys,52,99,44,69,91,2,1125,63.11420808506617,173
TCS,59,82,36,94,34,84,1685,50.39244652159216,474
Infosys,30,6,7,77,91,10,1722,41.283589555011815,1004
Microsoft,21,8,99,26,42,52,1502,42.47533488559371,506
Campus Placement,24,88,96,16,83,90,1301,56.06608889579908,709
Infosys,75,22,30,5,50,34,1499,41.90357827302998,404
Zoho,28,76,28,77,25,84,1729,43.72374805130105,712
Google SDE,65,62,17,82,47,30,1898,78.01963006512025,317
Amazon SDE,13,41,55,9,31,7,1173,72.84831752116023,192
Interview Preparation,49,10,19,44,93,31,944,33.04221406164056,638
Competitive Programming,87,98,71,55,21,22,1492,47.609720153182465,519
Zoho,24,87,45,30,50,2,861,59.2563233659921,555
Amazon SDE,23,33,87,90,31,9,1483,33.33347517370755,633
Zoho,11,44,0,39,83,56,1466,67.5744194609457,603
TCS,2,78,57,2,13,22,1360,51.144483142379514,753
Amazon SDE,78,10,66,46,75,38,1937,51.84481644457744,1260
Interview Preparation,44,51,74,91,0,68,1423,44.59300516336597,1469
Campus Placement,73,82,41,23,42,42,1565,48.36609465907043,1455
Campus Placement,9,59,42,10,22,39,1747,77.39294434497296,563
Amazon SDE,39,47,2,74,27,66,0,73.37316364653236,30
Interview Preparation,41,27,20,30,21,37,1281,81.46745429109342,563
Competitive Programming,26,56,68,46,48,48,1290,68.44485596793888,406
Infosys,61,37,64,77,9,43,1526,61.782946947083005,634
Zoho,5,13,77,42,60,3,1496,44.259095763690546,114
Infosys,37,70,67,10,35,55,1913,66.67704262653604,201
Zoho,29,31,18,55,88,10,1209,79.8386948607736,26
Google SDE,8,55,46,5,31,10,1329,33.80410786604386,1153
Interview Preparation,32,0,19,0,22,58,1686,54.368862726335614,402
Google SDE,22,60,6,75,82,47,1596,38.21483921255815,434
Campus Placement,20,85,59,1,45,18,1382,74.58390645501682,138
Microsoft,64,96,47,35,16,3,1341,63.7754033465912,1163
Zoho,75,47,8,72,52,95,1249,78.38071243604605,581
Microsoft,34,11,33,79,51,30,1128,33.47050673841617,38
Microsoft,45,28,41,40,49,35,1392,79.81518735127545,1130
Infosys,22,32,12,97,41,50,1575,33.695814018587924,1043
Infosys,97,32,67,64,53,81,1510,45.81831904644506,251
Google SDE,97,21,35,32,61,49,1375,38.589116092150206,241
Amazon SDE,90,69,18,65,23,54,1495,37.996211524819756,798
Infosys,95,94,80,92,56,96,1113,39.441844388845254,1317
Amazon SDE,50,83,59,72,5,2,1570,56.41198294737992,724
Infosys,18,79,88,7,82,69,970,73.13992582891524,768
Infosys,81,32,13,91,82,9,1476,79.40525012759579,811
Amazon SDE,71,10,4,2,75,82,1577,61.17825471464447,785
TCS,98,33,6,43,31,0,1431,38.6763356500767,735
Zoho,47,54,77,10,24,44,1401,34.35548698938018,209
Infosys,99,91,96,0,63,98,1082,57.17712907680463,954
Competitive Programming,48,62,75,47,95,76,1386,72.09591291493581,88
Amazon SDE,27,5,51,69,3,51,1994,64.10885787946759,965
Google SDE,99,43,3,41,38,32,1379,62.05298710449008,865
Google SDE,53,0,51,76,1,83,1317,32.64853678376848,1206
Interview Preparation,39,36,55,44,22,72,915,52.63499636369515,476
Infosys,49,85,5,90,70,73,1509,60.2711128025566,590
Interview Preparation,4,96,64,86,83,97,1531,62.90603572751639,1449
Zoho,37,17,83,33,35,82,1257,30.264443420288348,949
Interview Preparation,48,92,89,31,59,14,1326,40.97552370588642,458
Interview Preparation,76,1,86,60,52,23,1001,82.23823060163184,96
Amazon SDE,78,64,75,92,16,61,1436,57.97541110533437,110
Interview Preparation,67,69,12,5,85,84,1549,68.7003211073126,1041
TCS,54,26,58,77,70,32,722,46.95027027079911,854
Campus Placement,30,14,56,77,86,94,1388,62.19545961601921,1233
TCS,29,77,81,96,77,62,1919,49.605700212386765,96
Google SDE,65,95,94,87,73,21,1445,46.33273833328272,52
TCS,70,10,45,61,64,26,1547,52.626888931555406,1418
Amazon SDE,56,4,52,34,59,18,1717,55.290536103781974,1468
Amazon SDE,72,82,27,10,80,10,0,48.21313379448732,417
Google SDE,28,90,68,13,39,12,1292,44.189428575817445,673
Zoho,29,64,38,44,77,70,914,64.31012072318137,1050
Interview Preparation,82,40,19,25,48,90,2210,50.940286212148386,157
Infosys,21,96,19,89,55,23,1623,41.100431681927,286
Interview Preparation,35,94,97,39,80,45,1653,71.7102239432194,241
TCS,52,28,49,33,9,24,1712,69.80578695476277,375
Interview Preparation,56,64,13,78,81,86,1735,78.77487055019105,1261
Amazon SDE,2,26,14,91,34,50,1638,60.52604605154247,445
Amazon SDE,56,60,35,94,9,62,1408,45.36903540764681,408
Infosys,29,40,29,65,42,36,1304,77.50392234793043,1244
Google SDE,15,70,17,21,19,21,1619,45.416561632048456,1424
Campus Placement,65,59,97,40,79,21,1443,66.05803317683907,508
Interview Preparation,74,63,25,58,16,2,1433,40.47161698124985,549
Campus Placement,46,94,99,98,38,74,1695,64.60460934068668,572
Interview Preparation,91,28,82,81,49,52,2029,76.24714541465454,451
Zoho,28,66,63,31,91,23,1117,59.69692551842033,1294
Campus Placement,26,42,67,34,72,88,1544,55.89881312214977,782
Amazon SDE,44,1,90,69,83,81,1098,84.64101084501813,359
Infosys,69,49,54,3,69,49,1458,31.234865017446523,1385
Interview Preparation,62,8,66,93,76,47,895,48.24523693435984,529
Infosys,17,60,43,75,72,50,1190,80.52290967875294,1353
Campus Placement,39,93,58,7,47,27,1406,65.3453476852373,147
Amazon SDE,68,77,11,52,32,38,1720,59.815350147544336,1001
Zoho,9,47,35,84,34,73,955,65.07304397582621,377
Campus Placement,85,83,1,30,21,97,1530,47.70676326466908,1253
Infosys,23,13,41,21,22,89,0,33.91424758582089,1370
Interview Preparation,56,85,33,13,45,99,1839,45.13313093425721,1256
Zoho,6,26,30,72,88,87,1278,48.507285480906575,369
Microsoft,96,78,68,32,99,19,1530,56.39258215888002,930
Amazon SDE,11,25,19,15,6,96,1353,51.66430828707565,338
Competitive Programming,80,14,37,17,14,35,1106,58.65512231466044,971
Amazon SDE,99,94,74,15,92,22,1228,40.7844760778612,472
TCS,59,10,94,29,71,24,1173,40.122665410966974,955
Google SDE,97,13,88,11,36,7,876,49.34418627041335,972
Infosys,56,3,3,13,73,53,1863,56.054332786760966,1415
Competitive Programming,19,98,84,93,73,5,1292,48.795072592926346,845
Zoho,52,58,61,84,59,95,1543,61.710922781236675,178
Amazon SDE,49,95,0,5,49,56,1068,47.05033624743048,226
Campus Placement,14,35,41,23,12,71,1413,39.74429469411997,387
TCS,72,49,50,12,18,32,1551,77.45554605046809,128
Google SDE,15,31,36,51,48,65,1426,41.0331154216835,199
Infosys,71,77,42,91,22,55,1150,83.16527643947238,776
Infosys,61,97,91,80,54,66,1642,84.30722408381166,379
TCS,86,58,61,73,14,1,785,68.32420875359512,158
Infosys,6,66,50,76,80,73,927,57.61005467758105,661
Interview Preparation,63,36,52,96,9,68,1365,73.74803571988457,779
Interview Preparation,91,48,0,70,55,45,681,78.02614936504855,383
Campus Placement,94,22,63,68,62,32,1164,69.02754884600884,790
Microsoft,62,35,15,96,56,46,1258,35.61246154901585,169
Interview Preparation,73,85,1,97,45,57,1856,30.16433281835715,360
Campus Placement,14,49,1,13,32,85,1201,40.55457273258034,1321
Zoho,57,0,57,84,55,67,1243,40.369254258286865,1321
Amazon SDE,6,99,16,81,17,18,845,40.03846231519741,901
Infosys,54,49,85,77,67,73,1422,58.03747753013515,1259
Infosys,85,13,79,90,58,2,1402,58.60464550051144,532
Infosys,52,57,76,38,3,7,1072,69.76621256897697,531
Zoho,21,80,6,47,14,81,1674,41.080729713361606,792
Interview Preparation,84,14,61,25,30,1,1654,35.09629770347526,282
TCS,20,58,16,27,1,73,1232,66.6350224739979,945
Amazon SDE,89,90,20,64,75,83,822,56.619836261474305,1435
Zoho,73,80,94,12,61,93,1078,66.64763575240187,192
Microsoft,88,1,78,98,32,6,1860,50.94071346105656,497
Competitive Programming,69,88,63,85,45,88,1441,71.29375439467415,855
Infosys,14,71,42,44,49,13,1170,67.54304276813032,133
Campus Placement,61,62,86,2,19,73,1809,65.76880204222684,994
Google SDE,23,9,52,49,65,13,1344,31.51631058267065,799
Amazon SDE,51,27,40,84,64,32,1404,77.19682872875424,423
Google SDE,79,57,25,0,83,72,2117,50.713386289679335,1205
Infosys,67,35,93,98,23,18,1676,37.45885482480539,1321
TCS,17,34,74,51,13,20,1314,71.55736871762159,1468
Competitive Programming,36,79,25,37,48,53,1510,56.756120679850106,695
Zoho,74,80,69,9,40,59,1565,31.760295992798095,122
Microsoft,76,51,66,87,28,30,1646,73.00293083619722,897
Zoho,5,64,88,62,20,2,1089,53.927060467868195,131
Interview Preparation,32,85,78,51,31,67,1888,71.52092649363247,1255
Competitive Programming,35,67,58,7,58,31,1827,71.55750606825464,48
Competitive Programming,20,59,20,57,52,46,1121,35.496491573637215,506
Infosys,94,26,41,48,86,50,1395,63.72742027422919,789
TCS,51,20,69,3,92,76,1422,49.807538543761126,1266
Competitive Programming,17,74,22,33,77,81,1448,60.05210417031148,952
Zoho,16,30,56,31,62,73,1632,34.870083848951396,158
Infosys,8,67,52,24,70,16,1300,62.350095753619534,1430
Interview Preparation,78,86,75,30,22,23,1529,72.76470126355778,1031
Microsoft,28,43,26,9,80,82,1589,84.2747592224838,670
Interview Preparation,3,99,61,34,33,51,1548,47.61537524096343,311
Competitive Programming,87,23,78,39,95,62,1542,38.53186129725496,1393
Microsoft,74,10,71,76,36,32,1566,50.124566155386745,247
Campus Placement,87,36,24,59,4,5,1464,31.061636646062627,656
TCS,11,11,42,77,41,53,824,52.482532717246,672
Campus Placement,61,61,47,67,83,51,1095,80.30242167071222,245
Zoho,30,52,60,99,71,97,1011,40.68931017684715,212
Microsoft,67,9,18,2,71,39,1077,56.274580663261055,265
Campus Placement,43,53,34,66,87,48,1103,61.49393794678265,607
Infosys,19,99,20,2,24,35,1710,39.89489159368796,671
TCS,5,29,17,63,45,18,1800,48.155803803536124,244
Zoho,44,14,92,47,26,35,1592,80.1246656620599,1378
Infosys,68,70,90,52,95,0,1102,46.265080608998275,543
Amazon SDE,58,31,39,7,6,42,1123,64.94496604406268,869
Competitive Programming,13,39,73,46,59,76,1206,37.53235552941565,1499
Infosys,78,70,52,60,11,24,1180,66.8426728638432,779
TCS,80,5,4,26,6,75,1796,45.3529425479353,550
Competitive Programming,78,43,21,72,44,28,992,42.71945299528399,222
Zoho,24,93,55,69,7,90,1494,36.829084994500846,472
Google SDE,13,61,13,19,3,89,1017,32.57534117781443,445
TCS,91,78,39,99,27,71,1548,83.23228412862595,292
Campus Placement,57,97,0,9,45,23,1285,52.7647593856242,1496
TCS,30,47,76,27,60,19,1063,72.76885262610273,1440
Campus Placement,26,69,26,67,79,46,1232,80.60491149187274,97
Google SDE,40,26,48,51,39,83,1550,41.221123995278816,1077
Amazon SDE,51,49,57,1,33,64,911,77.84167278611315,470
Microsoft,51,40,80,37,26,87,1211,68.94135013330735,287
Amazon SDE,35,41,71,0,25,56,1343,61.788738078663464,430
Microsoft,79,67,91,42,10,23,987,74.49927945952933,1386
Microsoft,49,14,25,57,0,86,1114,36.086551873280115,705
Competitive Programming,98,79,19,63,20,60,1835,44.498018494488626,524
TCS,76,78,82,2,31,97,1003,37.20779805223769,712
Microsoft,20,84,13,68,74,72,1239,79.27838136067285,28
TCS,46,52,24,7,86,95,1545,35.43387128678933,32
Competitive Programming,19,86,35,15,59,59,1377,83.8972731836827,422
Amazon SDE,71,24,27,75,67,2,1228,36.04401680840069,1063
Campus Placement,83,59,7,83,1,96,1635,66.40008232575953,117
TCS,31,8,48,13,83,76,777,66.32717267493106,1400
Zoho,5,53,96,91,91,8,1609,81.21853977007387,1314
Microsoft,77,31,5,32,53,0,1115,47.772288033474396,1161
Campus Placement,33,62,88,42,8,12,633,48.26065504686075,1262
Google SDE,35,68,0,41,68,20,2046,76.54613184824683,1144
Competitive Programming,75,36,93,45,9,74,1411,83.8216554005788,145
Zoho,33,92,4,46,72,36,1630,31.657632830202438,371
Google SDE,15,20,72,87,2,76,1722,64.9424306420184,1219
Google SDE,43,63,7,1,30,33,1122,43.400180771239846,138
Amazon SDE,34,0,87,69,98,64,1321,70.03792584523075,1294
Competitive Programming,58,70,88,32,3,52,1389,72.49954550627302,524
Competitive Programming,57,69,40,68,6,68,1189,71.93890563174494,458
Infosys,76,82,71,58,15,18,1756,53.95311469771987,1137
Google SDE,26,39,84,43,15,84,1799,38.67907625245873,1257
Microsoft,40,13,18,87,91,95,1361,62.1620547023082,883
Interview Preparation,29,5,2,27,12,58,1549,73.39709401894412,482
Campus Placement,32,58,38,47,60,4,1656,80.17072495139897,1043
TCS,99,8,15,63,83,3,1484,54.895437807860375,1438
TCS,95,95,64,96,44,63,1227,43.51214684200801,311
Campus Placement,77,71,73,57,67,97,654,36.53523602166597,240
Amazon SDE,47,85,69,17,23,62,1428,73.86806092731803,932
Amazon SDE,44,71,68,88,95,65,1638,59.44135519235684,1099
Microsoft,83,61,16,36,85,58,1116,67.08012508641183,946
Interview Preparation,53,33,20,28,59,67,1451,38.75822203563449,121
Competitive Programming,90,8,92,51,59,22,1533,30.361834946303063,1046
Microsoft,96,73,61,60,4,78,1535,83.21698837853263,1426
Competitive Programming,31,21,30,76,97,34,1437,74.5988505587397,509
Zoho,92,76,2,52,31,53,1100,52.00145252190461,941
Campus Placement,35,41,37,79,87,65,1761,55.143128172046445,607
Google SDE,6,98,59,76,7,92,1386,81.09859479966767,243
TCS,85,71,91,19,46,77,1238,41.42076560622261,611
TCS,24,76,91,66,81,85,907,74.15557770118234,323
TCS,10,98,64,42,72,62,1521,30.986124043943953,575
Interview Preparation,2,92,75,57,1,22,2136,78.16420325168443,1045
Interview Preparation,68,73,15,13,64,50,1329,62.41062035161659,218
Google SDE,54,29,88,11,70,23,1253,56.26678776668858,1047
Interview Preparation,43,69,81,32,41,19,1396,68.85517361970284,1451
Amazon SDE,96,28,7,80,19,29,1377,33.72081222043354,1470
TCS,43,37,69,81,10,82,1289,40.754917628547716,1410
Amazon SDE,72,4,50,11,83,66,2022,52.384179517588436,1053
Microsoft,47,6,49,44,1,97,1413,63.982639720157245,596
Infosys,74,10,72,25,96,11,1009,37.95015596227889,1024
Interview Preparation,2,83,17,27,85,33,1046,50.872076561516955,1103
Zoho,71,26,93,76,91,4,1741,44.34910535551142,1244
Google SDE,99,62,83,11,30,46,1485,65.50631519700337,1134
TCS,54,78,81,56,98,6,1294,80.56031472591265,707
Amazon SDE,72,92,28,3,9,78,1269,39.12885233256743,141
Campus Placement,99,11,74,83,85,57,1609,40.40936291602324,1414
Google SDE,96,58,81,56,80,52,1163,63.02906638412573,1165
Competitive Programming,86,57,32,9,58,88,1355,54.94593798260789,1053
Interview Preparation,66,37,2,48,6,81,1618,69.49575330618326,545
Google SDE,42,32,91,44,36,87,1177,45.83369299452708,1023
Google SDE,57,34,4,46,12,87,1781,59.965078891391684,236
Interview Preparation,56,54,79,73,92,94,908,51.27554822672548,1187
Competitive Programming,15,58,58,27,25,9,1411,45.46952836855404,831
Campus Placement,59,43,3,11,2,3,1422,70.1113026330388,880
Amazon SDE,54,47,17,21,38,61,762,73.7741561725916,414
Interview Preparation,45,96,26,63,9,70,1177,48.09233001507462,211
Zoho,71,14,17,84,36,53,1578,64.26345107496817,47
Infosys,42,99,65,44,22,89,1183,39.822526443361745,951
Google SDE,0,54,5,14,19,68,1320,73.50323355345881,197
TCS,62,94,98,79,33,93,1278,45.468791530926744,1090
Amazon SDE,42,41,82,63,3,66,1692,39.40251100924461,950
TCS,87,24,92,65,31,63,1502,81.69787676164907,1053
Competitive Programming,92,1,10,49,41,71,1264,53.2366354522333,282
TCS,12,81,37,78,17,50,1184,65.39249523421884,1152
Campus Placement,57,40,64,78,51,19,1659,74.50673477668889,592
Competitive Programming,65,43,58,86,0,31,1443,67.73782744618882,525
Amazon SDE,32,49,53,81,86,16,1702,61.05630297121398,1254
Competitive Programming,77,89,20,92,76,37,1585,50.438740250413424,535
Amazon SDE,73,77,98,42,3,87,419,80.51876700782276,345
Competitive Programming,3,70,7,32,72,56,1721,37.34481043290056,707
Google SDE,79,43,66,92,45,24,1437,78.61558464800456,1088
Zoho,32,89,14,36,30,53,1473,69.04168566412345,509
Amazon SDE,12,58,80,16,65,39,798,61.42758719509496,909
